,X,obs,pred
0,i like that is t organic  good price here on amazon  the food should be thicker since it is stage 3  but it s kinda runny  the food is o k  kinda watery,1,0
3642,i first tried the regular raw organic meal replacement  but i felt like i was a horse eating oats out of a trough  as soon as i discovered a raw meal chocolate version  i ordered it  i thought  please taste ok enough to drink without gagging   i wanted soooo badly to like the regular one  but couldn t do it  and i eat everything  picky eating is not in my vocabulary   after the chocolate version arrived  i mixed it with just water  took a sip  and    eureka        the  horse oat  taste is still there  but dramatically reduced  you only taste it for about a second or two  again with much reduced taste  and then it goes away  the chocolate flavor takes over from there  completely replacing the  oat  taste   it leaves a nice after taste in your mouth  i no longer feel like a horse thank you garden of life  you now have a loyal consumer of this product  i will always be sure to have my kitchen stocked with this at all times i have not tried the vanilla but i may switch it up in a couple of months  i can drink this ,1,0
3641,right after installing the unit  my gsd walked up to the wire  sniffed it  touched  then yelped and darted off in surprise  she will not go near the wire now  and i don t even have the unit on  i only turn it on during the busy day time when there is school kids coming home  good investment to keep my dog away from the fence  does the job,1,0
3640,    for several years i have been seriously studying various bottled waters  and after researching this particular one quite thoroughly i have reached a number of conclusions  which i will now reveal for free despite the fact these tests have cost me a lot of time and money over the years first  it s mostly water   in fact  it is for all practical purposes all water according to my high quality  thoroughly calibrated ph meter  which i reviewed elsewhere  the alkalinity of this particular bottle of water is much closer to 9 3 than 9 5  but that s only 2 105  lower  which i think makes no difference unless you drink dozens of gallons a day and dozens more a night  which if you do might come you down with hyponatremia this water has a particular taste both in the mouth during drinking and afterwards   unlike trying to describe exactly how a wine tastes    an insouciant trace of dried foxglove petals masked almost but not completely by overarching reminiscences of the mature essences of oak barrels and lightly smoked hedgehog droppings   you know what i mean   trying to describe how the product under review tastes is simpler water it tastes like water it tastes like water as you re drinking it after you ve finished drinking some and you wait awhile to see whether there s any degree of afterbirth  there isn t   it s exactly as though you had drunk water   which you had     it freezes at 31 875 degrees fahrenheit   it boils at 210 77 degrees  not the 212 you might have expected  because i conducted the testing at 720 feet above msl  but the point is that the boiling point of pure water at 720 feet up is 210 76 degrees     it puts out a campfire just as well as tap water  and it puts out a campfire just as well as bottled water that doesn t contain sodium bicarbonate  baking soda  which is alkaline  which raises the ph level   dipotassium phosphate  derived exclusively from meteorites   magnesium sulfate  found only in certain caves in the lesser antilles islands   and calcium chloride  essence of limestone      amazon vine essentia 9 5 ph drinking water  1 5 liter   pack of 12   when bought in that quantity  amounts to 18 liters of water  which is 4 7551 gallons if you merely type  18 liters in gallons   into google  which weighs 39 701 pounds  which is extremely close to the 39 pounds 11 ounces you would expect from pure water according to wolfram when you enter  18 liters water in pounds  it works well in a squirt gun  which i still think more people should carry around just in case at room temperature essentia works well as a rinse after you ve shampooed your hamster or your parakeet  and it works just as well after you ve shampooed your giraffe but it takes a lot more  which gets expensive compared to just using tap water through a garden hose  believe you me   for this i subtract one star      not for giraffe rinsing,1,0
3638,i bought a 2 pack of filled hoof chews for my 70lb dog and he went wild  i bought this after he went through them  and so far he seems to like these  almost  as much as the filled hooves  totally worth the price  some buyers have complained about smell  but even after waking up several times with a half chewed hoof staring me in the face  i can t say i ve had a problem  unfilled but he doesn t care ,1,0
3637,the 50 k cups i received were of a diverse variety   i did not get one item that was the same   i received about the same amount of flavored coffees as the regular coffees  the rest include 1 cider  1 hot chocolate  about 3 or so decaf coffees and 6 teas   this is a true sample pack  i did not check every single cup  but the ones i did check were not expired   the biggest problem i have from this order is trying to decide which to try first   awesome   great variety,1,0
3636,technically this should be a 5 star rated product because dogs devour it   but  it can be a huge problem if your dg is normally accustomed t more traditionl dry food   it s almost as if this is like a kid eating too much candy but in all seriousness  it s well made and dogs will like it   way too much   so be careful  otherwise you ll have a problem transitioning back to regular dry food  can be a problem if your dog normally eats dry food,1,0
3635,i m a 53 year old caucasian woman with very long color treated hair   i ve used the shampoo  conditioner  and scalp oil in this line and they seemed to work very well so i was psyched to try this product   i thought it would be like a deep conditioning cream but it was more like the consistency of desitin which unfortunately made my hair greasy   i had to wash my hair twice to remove all the residue because the balm wouldn t soak into my hair this balm has a nice scent and i m sure that if you have very thick  curly or coarse hair you might want to give this product a try   also  if you are a swimmer you might give this a try as well   back when i was a swimmer i used to coat my hair with a product similar to this  put it in a braid and then cover it with a swim cap   the product kept my color treated hair from turning into green staw on long swims   since i no longer swim  i ve been using the clear scalp nourishing balm on my elbows and heels   waste not want not  not what i expected,1,0
3643,i m not smart enough to know enough about bottled water  i m in the camp who believes that naturally filtered well water is the best   most bottled water strips the natural minerals out however  there is somethign to be said about water being too acidic   a higher ph would be the opposite  so in that regard this should make this water much better honestly i cannot tell the difference   but i can say ther was no odor   there was no bad aftertaste  but i cannot say if this is worth the price  excellent taste,1,0
3634,this is a juice with less than half the calories than most juices  mainly because of its lack of sugar   and less than a third of the sodium of regular v8  campbell soup accomplishes the latter by dropping the amount of salt added  and compensates by doubling the level of potassium  that s good  in that lower sodium and elevated potassium levels may reduce your chances of heart disease and stroke  it s not so good if your kidney function is marginal the taste is similar to regular v8  but less salty  i suspect this is the healthiest juice product out there  which isn t saying much   a somewhat healthy juice,1,0
3632,i was worried about ordering this based on all the bad reviews  but i am extremely happy with my purchase  i got 36  instead of 35 assorted k cups and absolutely no duplicates  i bought this so i could try a bunch of different kinds and i was not dissapointed  i might even order another set  love it ,1,0
